Opleidingsnaam;Opleidingsnaam DUO - 3b. 2025;Opleidingscode;Subcategorie - NIDAP;Hoofdcategorie - NIDAP ;ISCED-hoofdgroep;ISCED-subgroep;RIO-onderdeel;ROA-opleidingstype;Opmerking;ISCED Rubriek (hoogste detail);ISCED detailgroep (op één na hoogste detail);HO sector;ROA Subsector;ROA Opleidingstype
M Fiscale Economie;M Fiscale Economie;66402;Economie ;Economie en Financiële Opleidingen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Master - economie en econometrie;Financieel?;economie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
M Economics and Strategy in Emerging Markets;M Economics and Strategy in Emerging Markets;67087;Economie ;Economie en Financiële Opleidingen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Master - economie en econometrie;;economie;economie en econometrie;Economie en Maatschappij;Economie en Recht;Economie en Econometrie
M Economic Development and Globalization;M Economic Development and Globalization;60963;Economie ;Economie en Financiële Opleidingen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Master - sociale en maatschappijwetenschappen;Nu International Economics and Sustainable Development;ontwikkelingskunde (regio);sociologie en culturele wetenschappen;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Sociale en Maatschappijwetenschappen
B Finance, Tax and Advice;B Finance, Tax and Advice;35517;Financiële Opleidingen;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - financieel management en fiscaal recht;;belastingen;financieel management en belastingen;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
B Finance & Control;B Finance & Control;35520;Financiële Opleidingen;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - financieel management en fiscaal recht;;financieel management en administratie;financieel management en belastingen;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
Ad Finance & Control;Ad Finance & Control;80065;Financiële Opleidingen;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - financieel management en fiscaal recht;;financieel management en administratie;financieel management en belastingen;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
Ad Finance;Ad Finance;80143;Financiële Opleidingen;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - financieel management en fiscaal recht;;geld- en bankzaken;financiële dienstverlening;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
M Finance;M Finance;60046;Financiële Opleidingen;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - financieel management en fiscaal recht;;geld- en bankzaken;financiële dienstverlening;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
M Finance & Investments;M Finance & Investments;60409;Financiële Opleidingen;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - financieel management en fiscaal recht;;geld- en bankzaken;financiële dienstverlening;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
M International Financial Management;M International Financial Management;60683;Financiële Opleidingen;Economie en Financiële Opleidingen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - financieel management en fiscaal recht;;financieel management en administratie;financieel management en belastingen;Economie en Maatschappij;Economie en Recht;Financieel Management en Fiscaal Recht
B Hotel Management;B Hotel Management;34411;Horeca, Vrije Tijd en Faciliteitsmanagement;Overig;dienstverlening;persoonlijke dienstverlening;ECONOMIE;Bachelor - horeca, vrije tijd en faciliteitsmanagement;;horeca algemeen;horeca;Economie en Maatschappij;Dienstverlening;Horeca, Vrije Tijd en Faciliteitsmanagement
B Facility Management;B Facility Management;34500;Horeca, Vrije Tijd en Faciliteitsmanagement;Overig;dienstverlening;persoonlijke dienstverlening;ECONOMIE;Bachelor - horeca, vrije tijd en faciliteitsmanagement;;facilitaire dienstverlening;huishoudkunde, facilitiaire dienstverlening en reiniging;Economie en Maatschappij;Dienstverlening;Horeca, Vrije Tijd en Faciliteitsmanagement
B Leisure & Events Management;B Leisure & Events Management;35521;Horeca, Vrije Tijd en Faciliteitsmanagement;Overig;dienstverlening;persoonlijke dienstverlening;ECONOMIE;Bachelor - horeca, vrije tijd en faciliteitsmanagement;;vrijetijdsbesteding, recreatie;toerisme en vrijetijdsbesteding;Economie en Maatschappij;Dienstverlening;Horeca, Vrije Tijd en Faciliteitsmanagement
B Tourism Management;B Tourism Management;35524;Horeca, Vrije Tijd en Faciliteitsmanagement;Overig;dienstverlening;persoonlijke dienstverlening;ECONOMIE;Bachelor - horeca, vrije tijd en faciliteitsmanagement;;toerisme;toerisme en vrijetijdsbesteding;Economie en Maatschappij;Dienstverlening;Horeca, Vrije Tijd en Faciliteitsmanagement
Ad Facility Management;Ad Facility Management;80004;Horeca, Vrije Tijd en Faciliteitsmanagement;Overig;dienstverlening;persoonlijke dienstverlening;ECONOMIE;Bachelor - horeca, vrije tijd en faciliteitsmanagement;;facilitaire dienstverlening;huishoudkunde, facilitiaire dienstverlening en reiniging;Economie en Maatschappij;Dienstverlening;Horeca, Vrije Tijd en Faciliteitsmanagement
Ad Tourism Management;Ad Tourism Management;80009;Horeca, Vrije Tijd en Faciliteitsmanagement;Overig;dienstverlening;persoonlijke dienstverlening;ECONOMIE;Bachelor - horeca, vrije tijd en faciliteitsmanagement;;toerisme;toerisme en vrijetijdsbesteding;Economie en Maatschappij;Dienstverlening;Horeca, Vrije Tijd en Faciliteitsmanagement
Ad Eventmanager;Ad Eventmanager;80031;Horeca, Vrije Tijd en Faciliteitsmanagement;Overig;dienstverlening;persoonlijke dienstverlening;ECONOMIE;Bachelor - horeca, vrije tijd en faciliteitsmanagement;;vrijetijdsbesteding, recreatie;toerisme en vrijetijdsbesteding;Economie en Maatschappij;Dienstverlening;Horeca, Vrije Tijd en Faciliteitsmanagement
Ad Leisure & Events Management;Ad Leisure & Events Management;80040;Horeca, Vrije Tijd en Faciliteitsmanagement;Overig;dienstverlening;persoonlijke dienstverlening;ECONOMIE;Bachelor - horeca, vrije tijd en faciliteitsmanagement;;vrijetijdsbesteding, recreatie;toerisme en vrijetijdsbesteding;Economie en Maatschappij;Dienstverlening;Horeca, Vrije Tijd en Faciliteitsmanagement
Ad Hotel Management;Ad Hotel Management;80041;Horeca, Vrije Tijd en Faciliteitsmanagement;Overig;dienstverlening;persoonlijke dienstverlening;ECONOMIE;Bachelor - horeca, vrije tijd en faciliteitsmanagement;;horeca algemeen;horeca;Economie en Maatschappij;Dienstverlening;Horeca, Vrije Tijd en Faciliteitsmanagement
Ad Facilitair Eventmanagement;Ad Facilitair Eventmanagement;80088;Horeca, Vrije Tijd en Faciliteitsmanagement;Overig;dienstverlening;persoonlijke dienstverlening;ECONOMIE;Bachelor - horeca, vrije tijd en faciliteitsmanagement;;vrijetijdsbesteding, recreatie;toerisme en vrijetijdsbesteding;Economie en Maatschappij;Dienstverlening;Horeca, Vrije Tijd en Faciliteitsmanagement
M Strategic Events Management;M Strategic Events Management;45287;Horeca, Vrije Tijd en Faciliteitsmanagement;Overig;dienstverlening;persoonlijke dienstverlening;ECONOMIE;Master - sociale en maatschappijwetenschappen;;;;;;
M International Leisure, Tourism & Events Management;M International Leisure, Tourism & Events Management;49135;Horeca, Vrije Tijd en Faciliteitsmanagement;Overig;dienstverlening;persoonlijke dienstverlening;ECONOMIE;Master - sociale en maatschappijwetenschappen;;;;;;
M Leading Hotel Transformation;M Leading Hotel Transformation;49151;Horeca, Vrije Tijd en Faciliteitsmanagement;Overig;dienstverlening;persoonlijke dienstverlening;ECONOMIE;Master - sociale en maatschappijwetenschappen;;;;;;
M International Hospitality and Service Management;M International Hospitality and Service Management;49158;Horeca, Vrije Tijd en Faciliteitsmanagement;Overig;dienstverlening;persoonlijke dienstverlening;ECONOMIE;Master - sociale en maatschappijwetenschappen;;;;;;
M International Hospitality and Service Management;M International Hospitality and Service Management;49158;Horeca, Vrije Tijd en Faciliteitsmanagement;Overig;dienstverlening;persoonlijke dienstverlening;ECONOMIE;Master - sociale en maatschappijwetenschappen;;;;;;
M Tourism Destination Management;M Tourism Destination Management;49287;Horeca, Vrije Tijd en Faciliteitsmanagement;Overig;dienstverlening;persoonlijke dienstverlening;ECONOMIE;Master - sociale en maatschappijwetenschappen;;;;;;
Ad Event & Experience Management;Ad Event & Experience Management;80188;Horeca, Vrije Tijd en Faciliteitsmanagement;Overig;dienstverlening;persoonlijke dienstverlening;ECONOMIE;ROA NOG NIET INGEDEELD;;;;;;
B Human Resource Management;B Human Resource Management;34609;Human Resources;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - management, bedrijfs- en personeelwetenschappen;;personeelswerk;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
Ad Human Resource Management;Ad Human Resource Management;80073;Human Resources;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - management, bedrijfs- en personeelwetenschappen;;personeelswerk;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Learning and Development in Organisations;M Learning and Development in Organisations;60001;Human Resources;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;organisatiekunde, kwaliteitszorg;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Human Resource Management;M Human Resource Management;60645;Human Resources;Bedrijfskunde, Bestuurskunde en Management;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;personeelswerk;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Business Information Management;M Business Information Management;60453;ICT;ICT en Cybersecurity;informatica;informatica;ECONOMIE;Master - informatica;;informatiemanagement;ontwerp en beheer van database en netwerken;Techniek en Ict;Techniek en Ict;Informatica
M Data-driven Design;M Data-driven Design;49297;Industrieel ontwerp;Industrieel ontwerp & Innovatiewetenschappen;informatica;informatica;ECONOMIE;Master - informatica;;;;;;
B Business Innovation;B Business Innovation;35515;Innovatiewetenschappen en -management;Industrieel ontwerp & Innovatiewetenschappen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Bachelor - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Management of Innovation;M Management of Innovation;60458;Innovatiewetenschappen en -management;Industrieel ontwerp & Innovatiewetenschappen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
M Digital Business and Innovation;M Digital Business and Innovation;60968;Innovatiewetenschappen en -management;Industrieel ontwerp & Innovatiewetenschappen;recht, administratie, handel en zakelijke dienstverlening;bedrijfskunde en administratie;ECONOMIE;Master - management, bedrijfs- en personeelwetenschappen;;management algemeen, bedrijfskunde;management bedrijfs- en personeelswetenschappen;Economie en Maatschappij;Economie en Recht;Management, Bedrijfs- en Personeelwetenschappen
B European Studies;B European Studies;34419;Internationale Betrekkingen;Politicologie en Internationale Betrekkingen;journalistiek, gedrag en maatschappij;gedrag en maatschappij;ECONOMIE;Bachelor - psychologie, sociale en maatschappijwetenschappen;;cultuurwetenschappen;sociologie en culturele wetenschappen;Economie en Maatschappij;Journalistiek, Gedrag en Maatschappij;Psychologie, Sociale en Maatschappijwetenschappen
